Xmin	Xmax	Ymin	Ymax	Zmin	Zmax
-0.153094	2.15309	-0.153094	2.15309	0.846906	9.45928	
x	y	z	U	V	W	Ro	P	Vol	Num
0.386858	0.435502	1.18168	-0.590244	-0.661988	13.7957	2375.74	6129.23	0.000501002	2
0.437721	0.435216	1.18074	-0.451458	-0.674079	13.6922	3560.82	9684.47	0.000501002	2
0.440386	0.436483	1.13484	-0.269924	-0.601593	6.34895	3560.5	9683.5	0.000501002	2
0.439432	0.435108	1.10842	-0.328529	-0.686202	0.725669	3528.76	9588.29	0.000501002	2
0.438205	0.434161	1.15173	-0.42528	-0.767008	0.3528	3256.89	8772.68	0.000501002	2
0.336908	0.487828	1.18161	-0.66339	-0.415889	13.8072	2062.49	5189.47	0.000501002	2
0.336204	0.541319	1.18105	-0.724817	-0.0656444	13.7648	2510.36	6533.09	0.000501002	2
0.336433	0.541887	1.13813	-0.741514	-0.0190191	6.61085	2515.55	6548.66	0.000501002	2
0.336555	0.594804	1.18124	-0.697402	0.287161	13.7751	2066.89	5202.67	0.000501002	2
0.386584	0.488093	1.17956	-0.605864	-0.385315	13.6079	3888.16	10666.5	0.000501002	2
0.389156	0.488731	1.13384	-0.438478	-0.347891	6.26198	3889.06	10669.2	0.000501002	2
0.387437	0.488385	1.1084	-0.54553	-0.352565	0.706096	3865.48	10598.5	0.000501002	2
0.385784	0.487354	1.15239	-0.679822	-0.436876	0.404761	3470.7	9414.1	0.000501002	2
0.386644	0.541022	1.17888	-0.597383	-0.0920478	13.544	4512.04	12538.1	0.000501002	2
0.389998	0.54145	1.13304	-0.371163	-0.0576172	6.20304	4494.13	12484.4	0.000501002	2
0.389111	0.542688	1.10802	-0.404628	0.0559821	0.676431	4503.18	12511.5	0.000501002	2
0.387036	0.542773	1.15125	-0.567995	0.0753635	0.310767	4145.8	11439.4	0.000501002	2
0.386272	0.594074	1.17952	-0.636063	0.214236	13.6068	3902.47	10709.4	0.000501002	2
0.388972	0.594509	1.13383	-0.458475	0.262797	6.26292	3891.22	10675.7	0.000501002	2
0.387762	0.596917	1.10827	-0.520178	0.457816	0.695957	3852.05	10558.1	0.000501002	2
0.386191	0.598328	1.15255	-0.6428	0.599537	0.420078	3460.33	9383	0.000501002	2
0.386711	0.646961	1.18078	-0.607112	0.523583	13.722	2397.75	6195.25	0.000501002	2
0.437401	0.48921	1.17905	-0.468261	-0.276561	13.5206	5307.1	14923.3	0.000501002	2
0.44157	0.490789	1.13224	-0.177474	-0.169168	6.14792	5223.91	14673.7	0.000501002	2
0.442784	0.491162	1.10731	-0.0514622	-0.120293	0.631289	5286.93	14862.8	0.000501002	2
0.441657	0.489977	1.15033	-0.131203	-0.218884	0.230944	5087.49	14264.5	0.000501002	2
0.437743	0.541293	1.17886	-0.433987	-0.0673706	13.4965	5886.96	16662.9	0.000501002	2
0.442412	0.541555	1.13191	-0.106947	-0.0456074	6.12512	5739.2	16219.6	0.000501002	2
0.444083	0.542674	1.107	0.0545726	0.0580082	0.60735	5813.25	16441.7	0.000501002	2
0.443258	0.542563	1.14946	0.000914925	0.0552886	0.1587	5688.87	16068.6	0.000501002	2
0.437472	0.593399	1.17886	-0.464157	0.145894	13.5106	5323.59	14972.8	0.000501002	2
0.441547	0.592399	1.13215	-0.179456	0.0856603	6.14034	5230.93	14694.8	0.000501002	2
0.442865	0.593936	1.10725	-0.0429329	0.211859	0.624832	5273.71	14823.1	0.000501002	2
0.441604	0.595178	1.15047	-0.135938	0.331914	0.243496	5074.45	14225.4	0.000501002	2
0.437318	0.647214	1.17989	-0.491218	0.532552	13.6256	3587.82	9765.46	0.000501002	2
0.440168	0.646871	1.13343	-0.295453	0.533787	6.22809	3563.11	9691.34	0.000501002	2
0.440026	0.64984	1.10778	-0.279602	0.759535	0.653053	3509.85	9531.54	0.000501002	2
0.438798	0.651229	1.15218	-0.370197	0.901937	0.385809	3229.18	8689.53	0.000501002	2
0.384689	0.541982	1.20166	-0.778983	0.00114701	0.429869	2431.68	6297.03	0.000501002	2
0.383081	0.541974	1.24968	-0.918162	0.000311245	0.297675	1516.49	3551.46	0.000501002	2
0.438923	0.487585	1.19974	-0.360386	-0.422888	0.252651	3304.65	8915.95	0.000501002	2
0.436711	0.486201	1.24679	-0.554852	-0.53885	0.0469908	2350.91	6054.73	0.000501002	2
0.435849	0.485422	1.29517	-0.629442	-0.603691	-0.0364743	2054.34	5165.02	0.000501002	2
0.43556	0.484782	1.34402	-0.65336	-0.656319	-0.0719833	1838.94	4518.81	0.000501002	2
0.435102	0.48437	1.39552	-0.691445	-0.690496	0.112639	1624.5	3875.49	0.000501002	2
0.441095	0.541917	1.1986	-0.180312	-0.00479292	0.155881	3835.14	10507.4	0.000501002	2
0.438711	0.541895	1.24633	-0.388022	-0.00684849	0.00637388	2897.92	7695.76	0.000501002	2
0.436361	0.541863	1.29503	-0.585475	-0.00978021	-0.0477094	2620.55	6863.64	0.000501002	2
0.435122	0.541827	1.3438	-0.688806	-0.0129965	-0.0905107	2413.66	6242.97	0.000501002	2
0.434321	0.541838	1.39452	-0.755401	-0.0120459	0.0279234	2166.38	5501.15	0.000501002	2
0.433255	0.541954	1.44459	-0.844053	-0.00159543	0.0950832	1819.95	4461.84	0.000501002	2
0.438976	0.596323	1.19975	-0.355671	0.419959	0.253156	3305.01	8917.03	0.000501002	2
0.436818	0.59768	1.2468	-0.545375	0.533459	0.0476445	2352.31	6058.94	0.000501002	2
0.436009	0.598425	1.29519	-0.615187	0.595189	-0.0348577	2055.24	5167.72	0.000501002	2
0.435761	0.599025	1.34404	-0.635438	0.644173	-0.0702315	1840.43	4523.28	0.000501002	2
0.435329	0.599448	1.39549	-0.671203	0.679311	0.109976	1626.14	3880.41	0.000501002	2
0.43197	0.541974	1.49513	-0.950576	0.000219832	0.202478	1435.79	3309.36	0.000501002	2
0.488683	0.436147	1.18027	-0.324618	-0.580098	13.6207	4297.93	11895.8	0.000501002	2
0.491388	0.43759	1.13346	-0.132307	-0.498013	6.24029	4233.23	11701.7	0.000501002	2
0.493067	0.435968	1.10754	0.0236345	-0.607596	0.650634	4226.92	11682.8	0.000501002	2
0.492358	0.434865	1.14969	-0.0163293	-0.711351	0.180714	4117.32	11354	0.000501002	2
0.541708	0.384373	1.18238	-0.0292446	-0.805985	13.8236	2158.85	5478.56	0.000501002	2
0.541037	0.435489	1.18028	-0.0908449	-0.638336	13.6151	4502.61	12509.8	0.000501002	2
0.54142	0.437873	1.13345	-0.0605407	-0.484535	6.23752	4430.75	12294.3	0.000501002	2
0.542765	0.436929	1.1075	0.0613822	-0.530293	0.647375	4435.44	12308.3	0.000501002	2
0.542861	0.435978	1.14882	0.0830105	-0.6101	0.109398	4393.51	12182.5	0.000501002	2
0.592729	0.435379	1.18021	0.084462	-0.652079	13.6234	4296.64	11891.9	0.000501002	2
0.591333	0.437319	1.13361	-0.00632044	-0.530464	6.25205	4240.35	11723	0.000501002	2
0.592736	0.436414	1.10764	0.118877	-0.574948	0.661208	4236.22	11710.7	0.000501002	2
0.593783	0.435411	1.14964	0.221912	-0.659752	0.177665	4120.87	11364.6	0.000501002	2
0.644439	0.435363	1.18039	0.284142	-0.663567	13.6695	3584.36	9755.09	0.000501002	2
0.642995	0.436511	1.13432	0.198237	-0.599918	6.30556	3565.86	9699.58	0.000501002	2
