x	y	z	U	V	W	Ro	P	
0.113428	0.105602	1.0117	0.40291	0.183521	0.106322	2028.18	5140.88	
0.112198	0.104649	1.04462	0.425742	0.224633	0.036715	2056.1	5280.51	
0.114208	0.105173	1.0783	0.447258	0.204867	0.0558453	1998.45	4992.24	
0.11323	0.105063	1.11098	0.403077	0.200116	0.0830384	2023.78	5118.91	
0.116426	0.137746	1.01104	0.384072	0.176329	0.0861033	1578.54	2892.7	
0.119142	0.139399	1.04576	0.519915	0.186568	0.0916786	1482.73	2413.67	
0.119662	0.139368	1.07803	0.506655	0.190174	0.0571418	1458.67	2293.34	
0.1198	0.140028	1.11112	0.506156	0.191869	0.0866035	1465.6	2328	
0.114298	0.105189	1.14328	0.403618	0.201381	0.128308	1997.39	4986.97	
0.114428	0.105635	1.17551	0.419759	0.193332	0.117715	1967.65	4838.23	
0.114887	0.105814	1.20783	0.432674	0.203039	0.0842122	1940.47	4702.34	
0.115077	0.106151	1.24058	0.442094	0.21652	0.039101	1916.04	4580.22	
0.114987	0.106373	1.27404	0.433314	0.223566	0.0182552	1891.7	4458.51	
0.120712	0.139295	1.14353	0.491783	0.191257	0.131127	1457.06	2285.3	
0.119698	0.140063	1.17574	0.468564	0.202307	0.123011	1467.01	2335.03	
0.120512	0.14028	1.20814	0.49077	0.214017	0.0953771	1439.17	2195.85	
0.120841	0.140529	1.24074	0.501254	0.226045	0.0559873	1412.49	2062.46	
0.121377	0.140894	1.27472	0.518892	0.238065	0.0663334	1377.13	1885.67	
0.116508	0.107824	1.3085	0.450258	0.266407	0.0633915	1790.89	3954.44	
0.116509	0.108452	1.34537	0.486293	0.298472	0.145447	1716.21	3581.07	
0.118063	0.11061	1.387	0.517034	0.354333	0.332475	1538.85	2694.27	
0.123159	0.142198	1.30994	0.535077	0.290884	0.138801	1299.47	1497.34	
0.122495	0.142645	1.34815	0.543253	0.30845	0.261785	1221.81	1109.04	
0.124185	0.145003	1.39148	0.566557	0.394709	0.451698	1098.46	492.289	
0.120663	0.114019	1.43244	0.50923	0.374649	0.455083	1283.31	1416.55	
0.126682	0.149645	1.4381	0.559807	0.493625	0.556684	974.296	-128.518	
0.12192	0.115715	1.48013	0.451865	0.376467	0.45136	1126.1	630.506	
0.124775	0.119959	1.53236	0.396178	0.339047	0.415057	887.801	-560.996	
0.119686	0.169603	1.01178	0.423407	0.139251	0.102393	1474.75	2373.74	
0.121609	0.172413	1.04592	0.535967	0.127428	0.111969	1399.82	1999.11	
