Xmin	Xmax	Ymin	Ymax	Zmin	Zmax
-0.153094	2.15309	-0.153094	2.15309	0.846906	9.45928	
x	y	z	U	V	W	Ro	P	Vol	Num
0	0	0.846906	0	0	0	2600	101325	0.000384615	0
0	0	0.89202	0	0	0	2600	101325	0.000384615	0
0	0	0.937135	0	0	0	2600	101325	0.000384615	0
0	0	0.982249	0	0	0	2600	101325	0.000384615	0
0	0.0451141	0.846906	0	0	0	2600	101325	0.000384615	0
0	0.0451141	0.89202	0	0	0	2600	101325	0.000384615	0
0	0.0451141	0.937135	0	0	0	2600	101325	0.000384615	0
0	0.0451141	0.982249	0	0	0	2600	101325	0.000384615	0
0	0.0902283	0.846906	0	0	0	2600	101325	0.000384615	0
0	0.0902283	0.89202	0	0	0	2600	101325	0.000384615	0
0	0.0902283	0.937135	0	0	0	2600	101325	0.000384615	0
0	0.0902283	0.982249	0	0	0	2600	101325	0.000384615	0
0	0.135342	0.846906	0	0	0	2600	101325	0.000384615	0
0	0.135342	0.89202	0	0	0	2600	101325	0.000384615	0
0	0.135342	0.937135	0	0	0	2600	101325	0.000384615	0
0	0.135342	0.982249	0	0	0	2600	101325	0.000384615	0
0.0451141	0	0.846906	0	0	0	2600	101325	0.000384615	0
0.0451141	0	0.89202	0	0	0	2600	101325	0.000384615	0
0.0451141	0	0.937135	0	0	0	2600	101325	0.000384615	0
0.0451141	0	0.982249	0	0	0	2600	101325	0.000384615	0
0.0451141	0.0451141	0.846906	0	0	0	2600	101325	0.000384615	0
0.0451141	0.0451141	0.89202	0	0	0	2600	101325	0.000384615	0
0.0451141	0.0451141	0.937135	0	0	0	2600	101325	0.000384615	0
0.0451141	0.0451141	0.982249	0	0	0	2600	101325	0.000384615	0
0.0451141	0.0902283	0.846906	0	0	0	2600	101325	0.000384615	0
0.0451141	0.0902283	0.89202	0	0	0	2600	101325	0.000384615	0
0.0451141	0.0902283	0.937135	0	0	0	2600	101325	0.000384615	0
0.0451141	0.0902283	0.982249	0	0	0	2600	101325	0.000384615	0
0.0451141	0.135342	0.846906	0	0	0	2600	101325	0.000384615	0
0.0451141	0.135342	0.89202	0	0	0	2600	101325	0.000384615	0
0.0451141	0.135342	0.937135	0	0	0	2600	101325	0.000384615	0
0.0451141	0.135342	0.982249	0	0	0	2600	101325	0.000384615	0
0.0902283	0	0.846906	0	0	0	2600	101325	0.000384615	0
0.0902283	0	0.89202	0	0	0	2600	101325	0.000384615	0
0.0902283	0	0.937135	0	0	0	2600	101325	0.000384615	0
0.0902283	0	0.982249	0	0	0	2600	101325	0.000384615	0
0.0902283	0.0451141	0.846906	0	0	0	2600	101325	0.000384615	0
0.0902283	0.0451141	0.89202	0	0	0	2600	101325	0.000384615	0
0.0902283	0.0451141	0.937135	0	0	0	2600	101325	0.000384615	0
0.0902283	0.0451141	0.982249	0	0	0	2600	101325	0.000384615	0
0.0902283	0.0902283	0.846906	0	0	0	2600	101325	0.000384615	0
0.0902283	0.0902283	0.89202	0	0	0	2600	101325	0.000384615	0
0.0902283	0.0902283	0.937135	0	0	0	2600	101325	0.000384615	0
0.0902283	0.0902283	0.982249	0	0	0	2600	101325	0.000384615	0
0.0902283	0.135342	0.846906	0	0	0	2600	101325	0.000384615	0
0.0902283	0.135342	0.89202	0	0	0	2600	101325	0.000384615	0
0.0902283	0.135342	0.937135	0	0	0	2600	101325	0.000384615	0
0.0902283	0.135342	0.982249	0	0	0	2600	101325	0.000384615	0
0.135342	0	0.846906	0	0	0	2600	101325	0.000384615	0
0.135342	0	0.89202	0	0	0	2600	101325	0.000384615	0
0.135342	0	0.937135	0	0	0	2600	101325	0.000384615	0
0.135342	0	0.982249	0	0	0	2600	101325	0.000384615	0
0.135342	0.0451141	0.846906	0	0	0	2600	101325	0.000384615	0
0.135342	0.0451141	0.89202	0	0	0	2600	101325	0.000384615	0
0.135342	0.0451141	0.937135	0	0	0	2600	101325	0.000384615	0
0.135342	0.0451141	0.982249	0	0	0	2600	101325	0.000384615	0
0.135342	0.0902283	0.846906	0	0	0	2600	101325	0.000384615	0
0.135342	0.0902283	0.89202	0	0	0	2600	101325	0.000384615	0
0.135342	0.0902283	0.937135	0	0	0	2600	101325	0.000384615	0
0.135342	0.0902283	0.982249	0	0	0	2600	101325	0.000384615	0
0.135342	0.135342	0.846906	0	0	0	2600	101325	0.000384615	0
0.135342	0.135342	0.89202	0	0	0	2600	101325	0.000384615	0
0.135342	0.135342	0.937135	0	0	0	2600	101325	0.000384615	0
0.135342	0.135342	0.982249	0	0	0	2600	101325	0.000384615	0
0	0.180457	0.846906	0	0	0	2600	101325	0.000384615	0
0	0.180457	0.89202	0	0	0	2600	101325	0.000384615	0
0	0.180457	0.937135	0	0	0	2600	101325	0.000384615	0
0	0.180457	0.982249	0	0	0	2600	101325	0.000384615	0
0	0.225571	0.846906	0	0	0	2600	101325	0.000384615	0
0	0.225571	0.89202	0	0	0	2600	101325	0.000384615	0
0	0.225571	0.937135	0	0	0	2600	101325	0.000384615	0
0	0.225571	0.982249	0	0	0	2600	101325	0.000384615	0
0	0.270685	0.846906	0	0	0	2600	101325	0.000384615	0
0	0.270685	0.89202	0	0	0	2600	101325	0.000384615	0
0	0.270685	0.937135	0	0	0	2600	101325	0.000384615	0
0	0.270685	0.982249	0	0	0	2600	101325	0.000384615	0
0	0.315799	0.846906	0	0	0	2600	101325	0.000384615	0
0	0.315799	0.89202	0	0	0	2600	101325	0.000384615	0
0	0.315799	0.937135	0	0	0	2600	101325	0.000384615	0
0	0.315799	0.982249	0	0	0	2600	101325	0.000384615	0
0	0.360913	0.846906	0	0	0	2600	101325	0.000384615	0
0	0.360913	0.89202	0	0	0	2600	101325	0.000384615	0
0	0.360913	0.937135	0	0	0	2600	101325	0.000384615	0
0	0.360913	0.982249	0	0	0	2600	101325	0.000384615	0
0	0.406027	0.846906	0	0	0	2600	101325	0.000384615	0
0	0.406027	0.89202	0	0	0	2600	101325	0.000384615	0
0	0.406027	0.937135	0	0	0	2600	101325	0.000384615	0
0	0.406027	0.982249	0	0	0	2600	101325	0.000384615	0
0	0.451141	0.846906	0	0	0	2600	101325	0.000384615	0
0	0.451141	0.89202	0	0	0	2600	101325	0.000384615	0
0	0.451141	0.937135	0	0	0	2600	101325	0.000384615	0
0	0.451141	0.982249	0	0	0	2600	101325	0.000384615	0
0.0451141	0.180457	0.846906	0	0	0	2600	101325	0.000384615	0
0.0451141	0.180457	0.89202	0	0	0	2600	101325	0.000384615	0
0.0451141	0.180457	0.937135	0	0	0	2600	101325	0.000384615	0
0.0451141	0.180457	0.982249	0	0	0	2600	101325	0.000384615	0
0.0451141	0.225571	0.846906	0	0	0	2600	101325	0.000384615	0
0.0451141	0.225571	0.89202	0	0	0	2600	101325	0.000384615	0
0.0451141	0.225571	0.937135	0	0	0	2600	101325	0.000384615	0
0.0451141	0.225571	0.982249	0	0	0	2600	101325	0.000384615	0
0.0451141	0.270685	0.846906	0	0	0	2600	101325	0.000384615	0
0.0451141	0.270685	0.89202	0	0	0	2600	101325	0.000384615	0
0.0451141	0.270685	0.937135	0	0	0	2600	101325	0.000384615	0
0.0451141	0.270685	0.982249	0	0	0	2600	101325	0.000384615	0
0.0451141	0.315799	0.846906	0	0	0	2600	101325	0.000384615	0
0.0451141	0.315799	0.89202	0	0	0	2600	101325	0.000384615	0
0.0451141	0.315799	0.937135	0	0	0	2600	101325	0.000384615	0
0.0451141	0.315799	0.982249	0	0	0	2600	101325	0.000384615	0
0.0451141	0.360913	0.846906	0	0	0	2600	101325	0.000384615	0
0.0451141	0.360913	0.89202	0	0	0	2600	101325	0.000384615	0
0.0451141	0.360913	0.937135	0	0	0	2600	101325	0.000384615	0
0.0451141	0.360913	0.982249	0	0	0	2600	101325	0.000384615	0
0.0451141	0.406027	0.846906	0	0	0	2600	101325	0.000384615	0
0.0451141	0.406027	0.89202	0	0	0	2600	101325	0.000384615	0
