x	y	z	U	V	W	Ro	P	
0.101329	0.101328	1.00679	-0.0641864	-0.0641879	0.339634	2688.11	8440.56	
0.10119	0.101187	1.03602	-0.0711149	-0.0712586	0.0906036	2565.7	7828.52	
0.101269	0.101272	1.06905	-0.0671658	-0.0670366	0.031925	2533.09	7665.46	
0.101237	0.101238	1.10278	-0.06877	-0.0687104	0.00853726	2529.15	7645.77	
0.101352	0.136089	1.00611	-0.06299	-0.0363679	0.305449	2453.93	7269.66	
0.101272	0.13672	1.03617	-0.066995	-0.00482968	0.0983907	2295.14	6475.72	
0.101377	0.136271	1.06912	-0.0617795	-0.0272558	0.0357703	2253.62	6268.1	
0.101365	0.136307	1.10275	-0.0623599	-0.0254499	0.00690301	2247.88	6239.4	
0.136026	0.101503	1.00606	-0.039505	-0.0554609	0.303049	2451.21	7256.07	
0.136835	0.101254	1.03626	0.0009153	-0.0679204	0.10285	2291.84	6459.21	
0.1363	0.101474	1.06916	-0.025833	-0.0568998	0.0373629	2248.87	6244.34	
0.136343	0.101441	1.10275	-0.0236598	-0.0585731	0.00708791	2243.22	6216.1	
0.135888	0.135869	1.00557	-0.0464362	-0.0473569	0.278587	2149.07	5745.36	
0.136713	0.136618	1.03656	-0.00517758	-0.00992825	0.117649	1945.18	4725.91	
0.136281	0.136187	1.0693	-0.026786	-0.0314531	0.0444207	1892.95	4464.75	
0.136354	0.136254	1.10273	-0.0231225	-0.0281392	0.00585313	1884.98	4424.88	
0.101255	0.101251	1.13694	-0.0678398	-0.0680627	0.00615088	2527.02	7635.11	
0.101235	0.101238	1.17104	-0.0688613	-0.0687188	0.000922917	2528.23	7641.14	
0.101239	0.10124	1.20522	-0.0686856	-0.0686031	-0.000166206	2528.01	7640.04	
0.101237	0.101239	1.23942	-0.0687489	-0.0686546	-0.000456361	2528.04	7640.21	
0.101244	0.101245	1.27363	-0.0684104	-0.068355	-0.000177315	2527.28	7636.4	
0.101383	0.136211	1.13686	-0.0614491	-0.0302653	0.00241798	2245.51	6227.55	
0.101388	0.136219	1.17103	-0.061222	-0.0298803	0.000637892	2245.87	6229.36	
0.101387	0.136211	1.20522	-0.0612419	-0.0302805	-0.000107542	2245.64	6228.19	
0.101385	0.136209	1.23942	-0.0613429	-0.0303721	-0.000518615	2245.9	6229.48	
0.10137	0.136273	1.27354	-0.0621105	-0.0271719	-0.00458995	2245.31	6226.55	
0.136292	0.101472	1.13691	-0.0261922	-0.0570224	0.00449662	2238.05	6190.23	
0.136275	0.1015	1.17101	-0.027078	-0.0556001	-0.000548582	2238.04	6190.21	
0.136238	0.10149	1.20522	-0.028908	-0.0561028	-0.000199858	2240.25	6201.25	
